,oid,ent,sectionId
1,1,1,6327
2,1,2,6323
3,1,3,6326
4,1,4,6329
5,1,5,6324
6,1,6,6327
7,1,7,6330
8,1,8,6325
9,1,9,6526
10,1,1,6522
11,1,2,6525
12,1,3,6528
13,1,4,6523
14,1,5,6526
15,1,6,6529
16,1,7,6524
17,1,8,6626
18,1,9,6622
19,1,1,6625
20,1,2,6628
21,1,3,6623
22,1,4,6626
23,1,5,6629
24,1,6,6624
25,1,7,6625
26,1,8,6621
27,1,9,6624
28,1,1,6627
29,1,2,6622
30,1,3,6625
31,1,4,6628
32,1,5,6623
33,1,6,6725
34,1,7,6721
35,1,8,6724
36,1,9,6727
37,1,1,6722
38,1,2,6725
39,1,3,6728
40,1,4,6723
41,1,5,6725
42,1,6,6721
43,1,7,6724
44,1,8,6727
45,1,9,6722
46,1,1,6725
47,1,2,6728
48,1,3,6723
49,1,4,6725
50,1,5,6721
51,1,6,6724
52,1,7,6727
53,1,8,6722
54,1,9,6725
55,1,1,6728
56,1,2,6723
57,1,3,6725
58,1,4,6721
59,1,5,6724
60,1,6,6727
61,1,7,6722
62,1,8,6725
63,1,9,6728
64,1,1,6723
65,1,2,6725
66,1,3,6721
67,1,4,6724
68,1,5,6727
69,1,6,6722
70,1,7,6725
71,1,8,6728
72,1,9,6723
73,1,1,6425
74,1,2,6421
75,1,3,6424
76,1,4,6427
77,1,5,6422
78,1,6,6425
79,1,7,6428
80,1,8,6423
81,1,9,6024
82,1,1,6020
83,1,2,6023
84,1,3,6026
85,1,4,6021
86,1,5,6024
87,1,6,6027
88,1,7,6022
89,1,8,5324
90,1,9,5320
91,1,1,5323
92,1,2,5326
93,1,3,5321
94,1,4,5324
95,1,5,5327
96,1,6,5322
97,1,7,4523
98,1,8,4519
99,1,9,4522
100,1,1,4525
101,1,2,4520
102,1,3,4523
103,1,4,4526
104,1,5,4521
105,1,6,3723
106,1,7,3719
107,1,8,3722
108,1,9,3725
109,1,1,3720
110,1,2,3723
111,1,3,3726
112,1,4,3721
113,1,5,2823
114,1,6,2819
115,1,7,2822
116,1,8,2825
117,1,9,2820
118,1,1,2823
119,1,2,2826
120,1,3,2821
121,1,4,2223
122,1,5,2219
123,1,6,2222
124,1,7,2225
125,1,8,2220
126,1,9,2223
127,1,1,2226
128,1,2,2221
129,1,3,1923
130,1,4,1919
131,1,5,1922
132,1,6,1925
133,1,7,1920
134,1,8,1923
135,1,9,1926
136,1,1,1921
137,1,2,1624
138,1,3,1620
139,1,4,1623
140,1,5,1626
141,1,6,1621
142,1,7,1624
143,1,8,1627
144,1,9,1622
145,1,1,1624
146,1,2,1620
147,1,3,1623
148,1,4,1626
149,1,5,1621
150,1,6,1624
151,1,7,1627
152,1,8,1622
153,1,9,1624
154,1,1,1620
155,1,2,1623
156,1,3,1626
157,1,4,1621
158,1,5,1624
159,1,6,1627
160,1,7,1622
161,1,8,1724
162,1,9,1720
163,1,1,1723
164,1,2,1726
165,1,3,1721
166,1,4,1724
167,1,5,1727
168,1,6,1722
169,1,7,2025
170,1,8,2021
171,1,9,2024
172,1,1,2027
173,1,2,2022
174,1,3,2025
175,1,4,2028
176,1,5,2023
177,1,6,2525
178,1,7,2521
179,1,8,2524
180,1,9,2527
181,1,1,2522
182,1,2,2525
183,1,3,2528
184,1,4,2523
185,1,5,3325
186,1,6,3321
187,1,7,3324
188,1,8,3327
189,1,9,3322
190,1,1,3325
191,1,2,3328
192,1,3,3323
193,1,4,4225
194,1,5,4221
195,1,6,4224
196,1,7,4227
197,1,8,4222
198,1,9,4225
199,1,1,4228
200,1,2,4223
201,1,3,5224
202,1,4,5220
203,1,5,5223
204,1,6,5226
205,1,7,5221
206,1,8,5224
207,1,9,5227
208,1,1,5222
209,1,2,6324
210,1,3,6320
211,1,4,6323
212,1,5,6326
213,1,6,6321
214,1,7,6324
215,1,8,6327
216,1,9,6322
217,1,1,7224
218,1,2,7220
219,1,3,7223
220,1,4,7226
221,1,5,7221
222,1,6,7224
223,1,7,7227
224,1,8,7222
225,1,9,8023
226,1,1,8019
227,1,2,8022
228,1,3,8025
229,1,4,8020
230,1,5,8023
231,1,6,8026
232,1,7,8021
233,1,8,8722
234,1,9,8718
235,1,1,8721
236,1,2,8724
237,1,3,8719
238,1,4,8722
239,1,5,8725
240,1,6,8720
241,1,7,9121
242,1,8,9117
243,1,9,9120
244,1,1,9123
245,1,2,9118
246,1,3,9121
247,1,4,9124
248,1,5,9119
249,1,6,9121
250,1,7,9117
251,1,8,9120
252,1,9,9123
253,1,1,9118
254,1,2,9121
255,1,3,9124
256,1,4,9119
257,1,5,9121
258,1,6,9117
259,1,7,9120
260,1,8,9123
261,1,9,9118
262,1,1,9121
263,1,2,9124
264,1,3,9119
265,1,4,9121
266,1,5,9117
267,1,6,9120
268,1,7,9123
269,1,8,9118
270,1,9,9121
271,1,1,9124
272,1,2,9119
273,1,3,8721
274,1,4,8717
275,1,5,8720
276,1,6,8723
277,1,7,8718
278,1,8,8721
279,1,9,8724
280,1,1,8719
281,1,2,8221
282,1,3,8217
283,1,4,8220
284,1,5,8223
285,1,6,8218
286,1,7,8221
287,1,8,8224
288,1,9,8219
289,1,1,7521
290,1,2,7517
291,1,3,7520
292,1,4,7523
293,1,5,7518
294,1,6,7521
295,1,7,7524
296,1,8,7519
297,1,9,6822
298,1,1,6818
299,1,2,6821
300,1,3,6824
301,1,4,6819
302,1,5,6822
303,1,6,6825
304,1,7,6820
305,1,8,6123
306,1,9,6119
307,1,1,6122
308,1,2,6125
309,1,3,6120
310,1,4,6123
311,1,5,6126
312,1,6,6121
313,1,7,5425
314,1,8,5421
315,1,9,5424
316,1,1,5427
317,1,2,5422
318,1,3,5425
319,1,4,5428
320,1,5,5423
321,1,6,5027
322,1,7,5023
323,1,8,5026
324,1,9,5029
325,1,1,5024
326,1,2,5027
327,1,3,5030
328,1,4,5025
329,1,5,4829
330,1,6,4825
331,1,7,4828
332,1,8,4831
333,1,9,4826
334,1,1,4829
335,1,2,4832
336,1,3,4827
337,1,4,4831
338,1,5,4827
339,1,6,4830
340,1,7,4833
341,1,8,4828
342,1,9,4831
343,1,1,4834
344,1,2,4829
345,1,3,4933
346,1,4,4929
347,1,5,4932
348,1,6,4935
349,1,7,4930
350,1,8,4933
351,1,9,4936
352,1,1,4931
353,1,2,5234
354,1,3,5230
355,1,4,5233
356,1,5,5236
357,1,6,5231
358,1,7,5234
359,1,8,5237
360,1,9,5232
361,1,1,5635
362,1,2,5631
363,1,3,5634
364,1,4,5637
365,1,5,5632
366,1,6,5635
367,1,7,5638
368,1,8,5633
369,1,9,6235
370,1,1,6231
371,1,2,6234
372,1,3,6237
373,1,4,6232
374,1,5,6235
375,1,6,6238
376,1,7,6233
377,1,8,6835
378,1,9,6831
379,1,1,6834
380,1,2,6837
381,1,3,6832
382,1,4,6835
383,1,5,6838
384,1,6,6833
385,1,7,7634
386,1,8,7630
