,oid,ent,sectionId
1,1,1,8027
2,1,2,8023
3,1,3,8026
4,1,4,8029
5,1,5,8024
6,1,6,8027
7,1,7,8030
8,1,8,8025
9,1,9,8329
10,1,1,8325
11,1,2,8328
12,1,3,8331
13,1,4,8326
14,1,5,8329
15,1,6,8332
16,1,7,8327
17,1,8,8529
18,1,9,8525
19,1,1,8528
20,1,2,8531
21,1,3,8526
22,1,4,8529
23,1,5,8532
24,1,6,8527
25,1,7,8628
26,1,8,8624
27,1,9,8627
28,1,1,8630
29,1,2,8625
30,1,3,8628
31,1,4,8631
32,1,5,8626
33,1,6,8827
34,1,7,8823
35,1,8,8826
36,1,9,8829
37,1,1,8824
38,1,2,8827
39,1,3,8830
40,1,4,8825
41,1,5,9026
42,1,6,9022
43,1,7,9025
44,1,8,9028
45,1,9,9023
46,1,1,9026
47,1,2,9029
48,1,3,9024
49,1,4,9125
50,1,5,9121
51,1,6,9124
52,1,7,9127
53,1,8,9122
54,1,9,9125
55,1,1,9128
56,1,2,9123
57,1,3,9124
58,1,4,9120
59,1,5,9123
60,1,6,9126
61,1,7,9121
62,1,8,9124
63,1,9,9127
64,1,1,9122
65,1,2,9023
66,1,3,9019
67,1,4,9022
68,1,5,9025
69,1,6,9020
70,1,7,9023
71,1,8,9026
72,1,9,9021
73,1,1,8722
74,1,2,8718
75,1,3,8721
76,1,4,8724
77,1,5,8719
78,1,6,8722
79,1,7,8725
80,1,8,8720
81,1,9,8322
82,1,1,8318
83,1,2,8321
84,1,3,8324
85,1,4,8319
86,1,5,8322
87,1,6,8325
88,1,7,8320
89,1,8,7722
90,1,9,7718
91,1,1,7721
92,1,2,7724
93,1,3,7719
94,1,4,7722
95,1,5,7725
96,1,6,7720
97,1,7,7022
98,1,8,7018
99,1,9,7021
100,1,1,7024
101,1,2,7019
102,1,3,7022
103,1,4,7025
104,1,5,7020
105,1,6,6223
106,1,7,6219
107,1,8,6222
108,1,9,6225
109,1,1,6220
110,1,2,6223
111,1,3,6226
112,1,4,6221
113,1,5,5323
114,1,6,5319
115,1,7,5322
116,1,8,5325
117,1,9,5320
118,1,1,5323
119,1,2,5326
120,1,3,5321
121,1,4,4524
122,1,5,4520
123,1,6,4523
124,1,7,4526
125,1,8,4521
126,1,9,4524
127,1,1,4527
128,1,2,4522
129,1,3,3923
130,1,4,3919
131,1,5,3922
132,1,6,3925
133,1,7,3920
134,1,8,3923
135,1,9,3926
136,1,1,3921
137,1,2,3423
138,1,3,3419
139,1,4,3422
140,1,5,3425
141,1,6,3420
142,1,7,3423
143,1,8,3426
144,1,9,3421
145,1,1,3122
146,1,2,3118
147,1,3,3121
148,1,4,3124
149,1,5,3119
150,1,6,3122
151,1,7,3125
152,1,8,3120
153,1,9,2922
154,1,1,2918
155,1,2,2921
156,1,3,2924
157,1,4,2919
158,1,5,2922
159,1,6,2925
160,1,7,2920
161,1,8,2821
