,oid,ent,sectionId
1,1,1,5057
2,1,2,5053
3,1,3,5056
4,1,4,5059
5,1,5,5054
6,1,6,5057
7,1,7,5060
8,1,8,5055
9,1,9,5159
10,1,1,5155
11,1,2,5158
12,1,3,5161
13,1,4,5156
14,1,5,5159
15,1,6,5162
16,1,7,5157
17,1,8,5260
18,1,9,5256
19,1,1,5259
20,1,2,5262
21,1,3,5257
22,1,4,5260
23,1,5,5263
24,1,6,5258
25,1,7,5261
26,1,8,5257
27,1,9,5260
28,1,1,5263
29,1,2,5258
30,1,3,5261
31,1,4,5264
32,1,5,5259
33,1,6,5362
34,1,7,5358
35,1,8,5361
36,1,9,5364
37,1,1,5359
38,1,2,5362
39,1,3,5365
40,1,4,5360
41,1,5,5362
42,1,6,5358
43,1,7,5361
44,1,8,5364
45,1,9,5359
46,1,1,5362
47,1,2,5365
48,1,3,5360
49,1,4,5362
50,1,5,5358
51,1,6,5361
52,1,7,5364
53,1,8,5359
54,1,9,5362
55,1,1,5365
56,1,2,5360
57,1,3,5361
58,1,4,5357
59,1,5,5360
60,1,6,5363
61,1,7,5358
62,1,8,5361
63,1,9,5364
64,1,1,5359
65,1,2,5260
66,1,3,5256
67,1,4,5259
68,1,5,5262
69,1,6,5257
70,1,7,5260
71,1,8,5263
72,1,9,5258
73,1,1,5158
74,1,2,5154
75,1,3,5157
76,1,4,5160
77,1,5,5155
78,1,6,5158
79,1,7,5161
80,1,8,5156
81,1,9,5055
82,1,1,5051
83,1,2,5054
84,1,3,5057
85,1,4,5052
86,1,5,5055
87,1,6,5058
88,1,7,5053
89,1,8,4852
90,1,9,4848
91,1,1,4851
92,1,2,4854
93,1,3,4849
94,1,4,4852
95,1,5,4855
96,1,6,4850
97,1,7,4548
98,1,8,4544
99,1,9,4547
100,1,1,4550
101,1,2,4545
102,1,3,4548
103,1,4,4551
104,1,5,4546
105,1,6,4242
106,1,7,4238
107,1,8,4241
108,1,9,4244
109,1,1,4239
110,1,2,4242
111,1,3,4245
112,1,4,4240
113,1,5,3935
114,1,6,3931
115,1,7,3934
116,1,8,3937
117,1,9,3932
118,1,1,3935
119,1,2,3938
120,1,3,3933
121,1,4,3627
122,1,5,3623
123,1,6,3626
124,1,7,3629
125,1,8,3624
126,1,9,3627
127,1,1,3630
128,1,2,3625
129,1,3,3219
130,1,4,3215
131,1,5,3218
132,1,6,3221
133,1,7,3216
134,1,8,3219
135,1,9,3222
136,1,1,3217
137,1,2,2813
138,1,3,2809
139,1,4,2812
140,1,5,2815
141,1,6,2810
142,1,7,2813
143,1,8,2816
144,1,9,2811
145,1,1,2607
146,1,2,2603
147,1,3,2606
148,1,4,2609
149,1,5,2604
150,1,6,2607
151,1,7,2610
152,1,8,2605
153,1,9,2403
154,1,1,2399
155,1,2,2402
156,1,3,2405
157,1,4,2400
158,1,5,2403
159,1,6,2406
160,1,7,2401
161,1,8,2301
162,1,9,2297
163,1,1,2300
164,1,2,2303
165,1,3,2298
166,1,4,2301
167,1,5,2304
168,1,6,2299
169,1,7,2200
170,1,8,2196
171,1,9,2199
172,1,1,2202
173,1,2,2197
174,1,3,2200
175,1,4,2203
176,1,5,2198
177,1,6,2201
178,1,7,2197
179,1,8,2200
180,1,9,2203
181,1,1,2198
182,1,2,2201
183,1,3,2204
184,1,4,2199
185,1,5,2303
186,1,6,2299
187,1,7,2302
188,1,8,2305
189,1,9,2300
190,1,1,2303
191,1,2,2306
192,1,3,2301
193,1,4,2607
194,1,5,2603
195,1,6,2606
196,1,7,2609
197,1,8,2604
198,1,9,2607
199,1,1,2610
200,1,2,2605
201,1,3,3014
202,1,4,3010
203,1,5,3013
204,1,6,3016
205,1,7,3011
206,1,8,3014
207,1,9,3017
208,1,1,3012
209,1,2,3523
210,1,3,3519
211,1,4,3522
212,1,5,3525
213,1,6,3520
214,1,7,3523
215,1,8,3526
216,1,9,3521
217,1,1,4034
218,1,2,4030
